beam_id,node_i,node_j,b [mm],h [mm],length [mm],wg [kN/m],wq [kN/m],wg_alpha [kN/m],wq_alpha [kN/m],fcd [MPa],fsyd [MPa],cover [mm],dbl_t1_i [mm],nbl_t1_i,dbl_t2_i [mm],nbl_t2_i,dbl_b1_i [mm],nbl_b1_i,dbl_b2_i [mm],nbl_b2_i,dbh_i [mm],sbh_i [mm],nbh_b_i,nbh_h_i,dbl_t1_mid [mm],nbl_t1_mid,dbl_t2_mid [mm],nbl_t2_mid,dbl_b1_mid [mm],nbl_b1_mid,dbl_b2_mid [mm],nbl_b2_mid,dbh_mid [mm],sbh_mid [mm],nbh_b_mid,nbh_h_mid,dbl_t1_j [mm],nbl_t1_j,dbl_t2_j [mm],nbl_t2_j,dbl_b1_j [mm],nbl_b1_j,dbl_b2_j [mm],nbl_b2_j,dbh_j [mm],sbh_j [mm],nbh_b_j,nbh_h_j,fcm_q [MPa],fsyml_q [MPa],fsymh_q [MPa],sbh_i_q [mm],sbh_mid_q [mm],sbh_j_q [mm],cover_q [mm],bondslip_factor_q
1025,1001,1002,300,650,4500,18.3438,2.25,16.1877,1.50007,13.3333,347.826,30,25,2,25,1,20,2,20,1,8,100,2,2,25,2,25,0,20,2,20,0,8,150,2,2,25,2,25,1,20,2,20,1,8,100,2,2,23.7998,476,475.936,101.731,151.714,102.557,26.6427,1
1026,1002,1003,300,650,4500,18.3438,2.25,16.1877,1.50007,13.3333,347.826,30,25,2,25,1,20,2,20,1,8,100,2,2,25,2,25,0,20,2,20,0,8,150,2,2,25,2,25,1,20,2,20,2,8,100,2,2,26.2279,488.118,481.402,103.033,153.185,101.96,30.2142,1
1027,1003,1004,300,650,3000,4.875,0,4.875,0,13.3333,347.826,30,25,2,25,1,20,2,20,2,8,75,2,2,25,2,25,0,20,2,20,0,8,100,2,2,25,2,25,1,20,2,20,2,8,75,2,2,25.434,482.297,481.373,75.6311,104.502,76.0481,33.4026,1
1028,1004,1005,300,650,4500,18.3438,2.25,16.1877,1.50007,13.3333,347.826,30,25,2,25,1,20,2,20,2,8,100,2,2,25,2,25,0,20,2,20,0,8,150,2,2,25,2,25,1,20,2,20,1,8,100,2,2,24.4611,484.006,476.983,102.47,151.751,102.309,28.5954,1
1029,1005,1006,300,650,4500,18.3438,2.25,16.1877,1.50007,13.3333,347.826,30,25,2,25,1,20,2,20,1,8,100,2,2,25,2,25,0,20,2,20,0,8,150,2,2,25,2,25,1,20,2,20,1,8,100,2,2,25.9981,477.467,488.936,103.157,150.374,104.677,27.4687,1
1030,1007,1008,350,750,4500,19.5,4.5,15.1879,3.00015,13.3333,347.826,30,25,2,25,2,25,2,25,2,8,50,2,2,25,2,25,0,25,2,25,0,8,100,2,2,25,2,25,3,25,2,25,2,8,75,2,2,26.0027,476.544,486.052,51.7313,103.299,76.9951,32.7852,1
1031,1008,1009,350,750,4500,19.5,4.5,15.1879,3.00015,13.3333,347.826,30,25,2,25,3,25,2,25,2,8,50,2,2,25,2,25,0,25,2,25,0,8,125,2,2,25,2,25,4,25,2,25,3,8,50,2,2,23.4717,470.441,475.487,52.3303,128.46,52.0949,27.3841,1
1032,1009,1010,350,750,3000,23.8125,8.25,22.3751,7.75005,13.3333,347.826,30,25,2,25,4,25,2,25,3,8,50,2,3,25,2,25,0,25,2,25,0,8,50,2,2,25,2,25,4,25,2,25,3,8,50,2,3,24.9786,477.151,478.242,50.46,50.3562,51.857,31.0536,1
1033,1010,1011,350,750,4500,19.5,4.5,15.1879,3.00015,13.3333,347.826,30,25,2,25,4,25,2,25,3,8,50,2,2,25,2,25,0,25,2,25,0,8,125,2,2,25,2,25,3,25,2,25,2,8,50,2,2,24.3562,475.983,481.619,51.7649,125.752,50.17,31.4422,1
1034,1011,1012,350,750,4500,19.5,4.5,15.1879,3.00015,13.3333,347.826,30,25,2,25,3,25,2,25,2,8,75,2,2,25,2,25,0,25,2,25,0,8,100,2,2,25,2,25,2,25,2,25,2,8,50,2,2,24.8969,484.513,485.919,78.2159,102.988,50.7529,30.1649,1
