beam_id,node_i,node_j,b [mm],h [mm],length [mm],wg [kN/m],wq [kN/m],wg_alpha [kN/m],wq_alpha [kN/m],fcd [MPa],fsyd [MPa],cover [mm],dbl_t1_i [mm],nbl_t1_i,dbl_t2_i [mm],nbl_t2_i,dbl_b1_i [mm],nbl_b1_i,dbl_b2_i [mm],nbl_b2_i,dbh_i [mm],sbh_i [mm],nbh_b_i,nbh_h_i,dbl_t1_mid [mm],nbl_t1_mid,dbl_t2_mid [mm],nbl_t2_mid,dbl_b1_mid [mm],nbl_b1_mid,dbl_b2_mid [mm],nbl_b2_mid,dbh_mid [mm],sbh_mid [mm],nbh_b_mid,nbh_h_mid,dbl_t1_j [mm],nbl_t1_j,dbl_t2_j [mm],nbl_t2_j,dbl_b1_j [mm],nbl_b1_j,dbl_b2_j [mm],nbl_b2_j,dbh_j [mm],sbh_j [mm],nbh_b_j,nbh_h_j,fcm_q [MPa],fsyml_q [MPa],fsymh_q [MPa],sbh_i_q [mm],sbh_mid_q [mm],sbh_j_q [mm],cover_q [mm],bondslip_factor_q
1025,1001,1002,300,650,4500,18.3438,2.25,16.1877,1.50007,10.6667,347.826,30,25,2,20,1,25,2,20,1,8,150,2,2,25,2,20,1,25,2,20,1,8,150,2,2,25,2,20,1,25,2,20,1,8,150,2,2,20.3998,476,475.936,152.597,151.714,153.836,26.6427,1
1026,1002,1003,300,650,4500,18.3438,2.25,16.1877,1.50007,10.6667,347.826,30,25,2,20,1,25,2,20,1,8,150,2,2,25,2,20,1,25,2,20,1,8,150,2,2,25,2,20,2,25,2,20,2,8,150,2,2,22.481,488.118,481.402,154.549,153.185,152.94,30.2142,1
1027,1003,1004,300,650,3000,4.875,0,4.875,0,10.6667,347.826,30,25,2,20,2,25,2,20,2,8,150,2,2,25,2,20,1,25,2,20,1,8,150,2,2,25,2,20,2,25,2,20,2,8,150,2,2,21.8006,482.297,481.373,151.262,156.752,152.096,33.4026,1
1028,1004,1005,300,650,4500,18.3438,2.25,16.1877,1.50007,10.6667,347.826,30,25,2,20,2,25,2,20,2,8,150,2,2,25,2,20,1,25,2,20,1,8,150,2,2,25,2,20,1,25,2,20,1,8,150,2,2,20.9667,484.006,476.983,153.705,151.751,153.463,28.5954,1
1029,1005,1006,300,650,4500,18.3438,2.25,16.1877,1.50007,10.6667,347.826,30,25,2,20,1,25,2,20,1,8,150,2,2,25,2,20,1,25,2,20,1,8,150,2,2,25,2,20,1,25,2,20,1,8,150,2,2,22.2841,477.467,488.936,154.736,150.374,157.016,27.4687,1
1030,1007,1008,350,750,4500,19.5,4.5,15.1879,3.00015,10.6667,347.826,30,25,2,25,2,20,2,20,3,8,150,2,2,25,2,25,1,20,2,20,2,8,150,2,2,25,2,25,2,20,2,20,3,8,150,2,2,22.2881,476.544,486.052,155.194,154.948,153.99,32.7852,1
1031,1008,1009,350,750,4500,19.5,4.5,15.1879,3.00015,10.6667,347.826,30,25,2,25,2,20,2,20,3,8,150,2,2,25,2,25,1,20,2,20,2,8,150,2,2,25,2,25,2,20,2,20,3,8,150,2,2,20.1186,470.441,475.487,156.991,154.151,156.285,27.3841,1
1032,1009,1010,350,750,3000,23.8125,8.25,22.3751,7.75005,10.6667,347.826,30,25,2,25,2,20,2,20,3,8,150,2,2,25,2,25,1,20,2,20,2,8,150,2,2,25,2,25,2,20,2,20,3,8,150,2,2,21.4103,477.151,478.242,151.38,151.069,155.571,31.0536,1
1033,1010,1011,350,750,4500,19.5,4.5,15.1879,3.00015,10.6667,347.826,30,25,2,25,2,20,2,20,3,8,150,2,2,25,2,25,1,20,2,20,2,8,150,2,2,25,2,25,2,20,2,20,3,8,150,2,2,20.8768,475.983,481.619,155.295,150.902,150.51,31.4422,1
1034,1011,1012,350,750,4500,19.5,4.5,15.1879,3.00015,10.6667,347.826,30,25,2,25,2,20,2,20,3,8,150,2,2,25,2,25,1,20,2,20,2,8,150,2,2,25,2,25,2,20,2,20,3,8,150,2,2,21.3402,484.513,485.919,156.432,154.482,152.259,30.1649,1
