column_id,node_i,node_j,bx [mm],by [mm],length [mm],wg [kN/m],wq [kN/m],fcd [MPa],fsyd [MPa],cover [mm],dbl_cor [mm],dbl_int [mm],nblx_int,nbly_int,dbh [mm],sbh [mm],nbh_x,nbh_y,fcm_q [MPa],fsyml_q [MPa],fsymh_q [MPa],sbh_q [mm],cover_q [mm],bondslip_factor_q
1,1,1001,250,250,3100,1.5,0,6,140,30,12,12,0,1,6,125,2,2,19.545,286.686,291.251,126.197,35.3792,0
2,2,1002,350,350,3100,2.94,0,6,140,30,12,12,0,2,6,125,2,2,24.4962,287.11,285.324,129.081,28.121,0
5,5,1005,350,350,3100,2.94,0,6,140,30,12,12,0,2,6,125,2,2,20.217,287.448,289.065,130.407,30.6707,0
6,6,1006,250,250,3100,1.5,0,6,140,30,12,12,0,1,6,125,2,2,19.445,282.808,294.426,128.028,29.4261,0
7,7,1007,350,350,3100,2.94,0,6,140,30,12,12,0,2,6,125,2,2,19.1841,285.182,287.456,131.076,29.0789,0
8,8,1008,400,400,3100,3.84,0,6,140,30,12,12,1,2,6,125,2,2,21.1562,294.026,285.659,128.776,31.3614,0
9,9,1009,400,400,3100,3.84,0,6,140,30,12,12,1,2,6,125,2,2,22.4241,288.903,288.514,130.154,28.3094,0
10,10,1010,400,400,3100,3.84,0,6,140,30,12,12,1,2,6,125,2,2,21.4987,289.187,285.055,125.714,30.471,0
11,11,1011,400,400,3100,3.84,0,6,140,30,12,12,1,2,6,125,2,2,19.3049,289.955,286.516,130.723,28.7768,0
12,12,1012,350,350,3100,2.94,0,6,140,30,12,12,0,2,6,125,2,2,25.1322,293.318,287.45,125.8,32.229,0
13,13,1013,350,350,3100,2.94,0,6,140,30,12,12,0,2,6,125,2,2,21.4351,286.551,282.676,129.05,27.2804,0
14,14,1014,400,400,3100,3.84,0,6,140,30,12,12,1,2,6,125,2,2,23.3145,284.528,285.9,126.621,28.3133,0
15,15,1015,400,400,3100,3.84,0,6,140,30,12,12,1,2,6,125,2,2,21.5241,288.094,291.9,127.107,31.8062,0
16,16,1016,400,400,3100,3.84,0,6,140,30,12,12,1,2,6,125,2,2,21.4054,285.068,290.217,129.473,29.8972,0
17,17,1017,400,400,3100,3.84,0,6,140,30,12,12,1,2,6,125,2,2,18.6583,292.475,283.474,126.038,24.9762,0
18,18,1018,350,350,3100,2.94,0,6,140,30,12,12,0,2,6,125,2,2,20.0763,290.736,289.587,127.803,38.5811,0
19,19,1019,250,250,3100,1.5,0,6,140,30,12,12,0,1,6,125,2,2,20.4668,289.671,283.835,129.961,28.8663,0
20,20,1020,350,350,3100,2.94,0,6,140,30,12,12,0,2,6,125,2,2,22.3649,293.618,284.604,126.418,31.8603,0
21,21,1021,300,300,3100,2.16,0,6,140,30,12,12,0,2,6,125,2,2,24.064,291.876,283.292,131.225,31.6562,0
22,22,1022,300,300,3100,2.16,0,6,140,30,12,12,0,2,6,125,2,2,21.2056,293.952,287.839,128.751,26.464,0
23,23,1023,350,350,3100,2.94,0,6,140,30,12,12,0,2,6,125,2,2,21.394,286.413,286.471,125.691,28.2021,0
24,24,1024,250,250,3100,1.5,0,6,140,30,12,12,0,1,6,125,2,2,18.8922,287.46,287.842,125.051,30.8033,0
1001,1001,2001,250,250,2800,1.5,0,6,140,30,12,12,0,1,6,125,2,2,22.2193,288.901,286.492,125.213,28.513,0
1002,1002,2002,350,350,2800,2.94,0,6,140,30,12,12,0,2,6,125,2,2,24.0583,286.601,287.58,130.753,37.7973,0
1005,1005,2005,350,350,2800,2.94,0,6,140,30,12,12,0,2,6,125,2,2,19.8989,290.638,285.515,127.395,28.5514,0
1006,1006,2006,250,250,2800,1.5,0,6,140,30,12,12,0,1,6,125,2,2,16.3837,287.043,292.385,131.218,30.5939,0
1007,1007,2007,350,350,2800,2.94,0,6,140,30,12,12,0,2,6,125,2,2,19.8738,286.577,284.353,125.571,34.2534,0
1008,1008,2008,400,400,2800,3.84,0,6,140,30,12,12,1,2,6,125,2,2,22.5534,287.069,282.881,128.238,29.7527,0
1009,1009,2009,400,400,2800,3.84,0,6,140,30,12,12,1,2,6,125,2,2,21.2057,284.586,284.117,125.263,33.2376,0
1010,1010,2010,400,400,2800,3.84,0,6,140,30,12,12,1,2,6,125,2,2,24.4907,289.364,287.072,130.427,30.3599,0
1011,1011,2011,400,400,2800,3.84,0,6,140,30,12,12,1,2,6,125,2,2,19.2896,289.29,281.835,126.269,29.301,0
1012,1012,2012,350,350,2800,2.94,0,6,140,30,12,12,0,2,6,125,2,2,24.7009,289.356,286.698,129.609,30.7605,0
1013,1013,2013,350,350,2800,2.94,0,6,140,30,12,12,0,2,6,125,2,2,22.2241,288.304,282.822,125.001,30.5513,0
1014,1014,2014,400,400,2800,3.84,0,6,140,30,12,12,1,2,6,125,2,2,25.1386,288.836,289.122,130.683,28.2171,0
1015,1015,2015,400,400,2800,3.84,0,6,140,30,12,12,1,2,6,125,2,2,25.1987,288.58,289.149,127.612,26.3263,0
1016,1016,2016,400,400,2800,3.84,0,6,140,30,12,12,1,2,6,125,2,2,20.871,287.6,287.68,130.925,26.896,0
1017,1017,2017,400,400,2800,3.84,0,6,140,30,12,12,1,2,6,125,2,2,21.7326,287.637,287.16,126.606,24.183,0
1018,1018,2018,350,350,2800,2.94,0,6,140,30,12,12,0,2,6,125,2,2,18.1375,284.292,288.719,128.297,32.7244,0
1019,1019,2019,250,250,2800,1.5,0,6,140,30,12,12,0,1,6,125,2,2,20.1924,283.786,291.009,126.895,33.2248,0
1020,1020,2020,350,350,2800,2.94,0,6,140,30,12,12,0,2,6,125,2,2,21.1174,291.192,289.114,128.252,35.2496,0
1021,1021,2021,300,300,2800,2.16,0,6,140,30,12,12,0,2,6,125,2,2,20.3713,289.428,282.946,130.26,28.8396,0
1022,1022,2022,300,300,2800,2.16,0,6,140,30,12,12,0,2,6,125,2,2,20.2555,284.744,289.759,128.808,32.5873,0
1023,1023,2023,350,350,2800,2.94,0,6,140,30,12,12,0,2,6,125,2,2,20.4063,282.939,287.571,128.445,32.3511,0
1024,1024,2024,250,250,2800,1.5,0,6,140,30,12,12,0,1,6,125,2,2,20.3697,287.839,289.384,128.14,24.6271,0
2001,2001,3001,250,250,2800,1.5,0,6,140,30,12,12,0,1,6,125,2,2,20.7721,284.724,292.873,126.271,33.9184,0
2002,2002,3002,250,250,2800,1.5,0,6,140,30,12,12,0,1,6,125,2,2,21.3192,285.124,291.011,126.697,31.8377,0
2005,2005,3005,250,250,2800,1.5,0,6,140,30,12,12,0,1,6,125,2,2,18.526,293.434,286.866,129.954,25.9482,0
2006,2006,3006,250,250,2800,1.5,0,6,140,30,12,12,0,1,6,125,2,2,23.5072,288.788,286.31,130.991,26.325,0
2007,2007,3007,250,250,2800,1.5,0,6,140,30,12,12,0,1,6,125,2,2,19.607,285.96,287.037,126.722,27.83,0
2008,2008,3008,350,350,2800,2.94,0,6,140,30,12,12,0,2,6,125,2,2,19.9912,287.728,283.263,127.734,31.7645,0
2009,2009,3009,350,350,2800,2.94,0,6,140,30,12,12,0,2,6,125,2,2,21.2655,292.996,285.872,127.815,28.2138,0
2010,2010,3010,350,350,2800,2.94,0,6,140,30,12,12,0,2,6,125,2,2,18.8114,288.035,294.114,128.222,30.6315,0
2011,2011,3011,350,350,2800,2.94,0,6,140,30,12,12,0,2,6,125,2,2,16.9024,288.53,289.967,127.16,26.1485,0
2012,2012,3012,250,250,2800,1.5,0,6,140,30,12,12,0,1,6,125,2,2,19.97,286.198,287.246,129.046,31.3993,0
2013,2013,3013,250,250,2800,1.5,0,6,140,30,12,12,0,1,6,125,2,2,21.9745,287.035,287.948,128.742,34.6293,0
2014,2014,3014,350,350,2800,2.94,0,6,140,30,12,12,0,2,6,125,2,2,22.8193,290.184,290.264,127.946,30.3482,0
2015,2015,3015,350,350,2800,2.94,0,6,140,30,12,12,0,2,6,125,2,2,21.0333,282.529,287.402,129.115,29.7459,0
2016,2016,3016,350,350,2800,2.94,0,6,140,30,12,12,0,2,6,125,2,2,20.7683,290.227,285.585,126.556,29.0318,0
2017,2017,3017,350,350,2800,2.94,0,6,140,30,12,12,0,2,6,125,2,2,22.5679,289.249,289.375,130.707,24.4966,0
2018,2018,3018,250,250,2800,1.5,0,6,140,30,12,12,0,1,6,125,2,2,20.7504,284.912,293.977,126.521,30.833,0
2019,2019,3019,250,250,2800,1.5,0,6,140,30,12,12,0,1,6,125,2,2,23.5356,286.242,283.112,125.536,31.644,0
2020,2020,3020,250,250,2800,1.5,0,6,140,30,12,12,0,1,6,125,2,2,23.099,289.005,286.517,127.049,34.8944,0
2021,2021,3021,250,250,2800,1.5,0,6,140,30,12,12,0,1,6,125,2,2,22.6928,286.615,290.345,127.138,29.5599,0
2022,2022,3022,250,250,2800,1.5,0,6,140,30,12,12,0,1,6,125,2,2,19.6109,285.729,287.994,129.967,31.7707,0
2023,2023,3023,250,250,2800,1.5,0,6,140,30,12,12,0,1,6,125,2,2,21.4756,287.941,287.477,128.682,28.4492,0
2024,2024,3024,250,250,2800,1.5,0,6,140,30,12,12,0,1,6,125,2,2,24.4332,287.83,286.187,127.429,25.5841,0
3001,3001,4001,250,250,2800,1.5,0,6,140,30,12,12,0,1,6,125,2,2,19.2995,294.716,291.619,126.741,39.035,0
3002,3002,4002,250,250,2800,1.5,0,6,140,30,12,12,0,1,6,125,2,2,21.1745,286.043,293.089,128.988,28.4783,0
3005,3005,4005,250,250,2800,1.5,0,6,140,30,12,12,0,1,6,125,2,2,22.6422,289.063,286.925,129.918,25.5918,0
3006,3006,4006,250,250,2800,1.5,0,6,140,30,12,12,0,1,6,125,2,2,24.2312,293.799,286.942,125.986,33.0406,0
3007,3007,4007,250,250,2800,1.5,0,6,140,30,12,12,0,1,6,125,2,2,20.5207,286.328,286.332,128.082,26.9081,0
3008,3008,4008,350,350,2800,2.94,0,6,140,30,12,12,0,2,6,125,2,2,16.9082,288.119,289.793,128.828,33.8241,0
3009,3009,4009,350,350,2800,2.94,0,6,140,30,12,12,0,2,6,125,2,2,23.5576,290.18,288.401,126.655,28.219,0
3010,3010,4010,350,350,2800,2.94,0,6,140,30,12,12,0,2,6,125,2,2,23.1796,285.088,286.056,125.86,28.5154,0
3011,3011,4011,350,350,2800,2.94,0,6,140,30,12,12,0,2,6,125,2,2,22.5331,289.552,291.101,131.22,23.6367,0
3012,3012,4012,250,250,2800,1.5,0,6,140,30,12,12,0,1,6,125,2,2,20.3436,283.728,290.164,127.069,30.6724,0
3013,3013,4013,250,250,2800,1.5,0,6,140,30,12,12,0,1,6,125,2,2,25.191,285.701,289.393,127.596,30.5683,0
3014,3014,4014,350,350,2800,2.94,0,6,140,30,12,12,0,2,6,125,2,2,21.3245,283.421,288.079,127.504,38.2499,0
3015,3015,4015,350,350,2800,2.94,0,6,140,30,12,12,0,2,6,125,2,2,23.4521,286.075,286.244,129.139,31.7277,0
3016,3016,4016,350,350,2800,2.94,0,6,140,30,12,12,0,2,6,125,2,2,18.5137,289.06,293.206,130.236,24.2595,0
3017,3017,4017,350,350,2800,2.94,0,6,140,30,12,12,0,2,6,125,2,2,22.2638,292.751,286.123,127.201,30.6302,0
3018,3018,4018,250,250,2800,1.5,0,6,140,30,12,12,0,1,6,125,2,2,19.7879,287.888,285.517,125.608,29.2163,0
3019,3019,4019,250,250,2800,1.5,0,6,140,30,12,12,0,1,6,125,2,2,21.6746,293.735,282.833,125.172,39.7164,0
3020,3020,4020,250,250,2800,1.5,0,6,140,30,12,12,0,1,6,125,2,2,21.5483,284.815,294.959,131.138,26.9961,0
3021,3021,4021,250,250,2800,1.5,0,6,140,30,12,12,0,1,6,125,2,2,22.6112,291.578,292.759,125.903,28.5185,0
3022,3022,4022,250,250,2800,1.5,0,6,140,30,12,12,0,1,6,125,2,2,24.3387,292.492,286.227,127.162,28.9562,0
3023,3023,4023,250,250,2800,1.5,0,6,140,30,12,12,0,1,6,125,2,2,23.8619,283.011,276.854,131.245,29.1912,0
3024,3024,4024,250,250,2800,1.5,0,6,140,30,12,12,0,1,6,125,2,2,19.9372,287.495,287.582,125.743,26.937,0
4063,3,4025,300,300,1550,2.16,0,6,140,30,12,12,0,1,6,125,2,2,20.0458,291.736,289.536,125.218,28.5644,0
4064,4025,1003,300,300,1550,2.16,0,6,140,30,12,12,0,1,6,125,2,2,17.6636,289.909,286.233,126.14,26.1224,0
4065,4,4026,300,300,1550,2.16,0,6,140,30,12,12,0,1,6,125,2,2,21.9928,292.065,288.593,127.875,26.6949,0
4066,4026,1004,300,300,1550,2.16,0,6,140,30,12,12,0,1,6,125,2,2,20.6896,290.242,287.497,130.786,28.3174,0
4068,1003,4027,300,300,1400,2.16,0,6,140,30,12,12,0,0,6,125,2,2,20.8306,286.538,287.467,128.832,28.7112,0
4069,4027,2003,300,300,1400,2.16,0,6,140,30,12,12,0,0,6,125,2,2,22.804,291.196,288.951,126.985,30.1828,0
4070,1004,4028,300,300,1400,2.16,0,6,140,30,12,12,0,0,6,125,2,2,20.4957,285.741,290.938,126.197,28.4238,0
4071,4028,2004,300,300,1400,2.16,0,6,140,30,12,12,0,0,6,125,2,2,23.4007,289.062,290.448,125.088,32.0699,0
4073,2003,4029,250,250,1400,1.5,0,6,140,30,12,12,0,0,6,125,2,2,21.2762,289.763,289.075,130.367,31.6054,0
4074,4029,3003,250,250,1400,1.5,0,6,140,30,12,12,0,0,6,125,2,2,19.6357,288.147,285.647,125.951,25.3754,0
4075,2004,4030,250,250,1400,1.5,0,6,140,30,12,12,0,0,6,125,2,2,22.0964,287.554,287.755,126.75,35.968,0
4076,4030,3004,250,250,1400,1.5,0,6,140,30,12,12,0,0,6,125,2,2,18.9108,281.701,293.363,127.754,29.4786,0
4078,3003,4031,250,250,1400,1.5,0,6,140,30,12,12,0,0,6,125,2,2,21.9753,290.412,290.867,130.779,31.4169,0
4079,4031,4003,250,250,1400,1.5,0,6,140,30,12,12,0,0,6,125,2,2,19.7251,289.84,282.115,125.396,22.6423,0
4080,3004,4032,250,250,1400,1.5,0,6,140,30,12,12,0,0,6,125,2,2,21.2419,286.822,287.743,129.472,29.2092,0
4081,4032,4004,250,250,1400,1.5,0,6,140,30,12,12,0,0,6,125,2,2,19.9045,290.215,293.606,126.496,27.7679,0
