beam_id,node_i,node_j,b [mm],h [mm],length [mm],wg [kN/m],wq [kN/m],wg_alpha [kN/m],wq_alpha [kN/m],fcd [MPa],fsyd [MPa],cover [mm],dbl_t1_i [mm],nbl_t1_i,dbl_t2_i [mm],nbl_t2_i,dbl_b1_i [mm],nbl_b1_i,dbl_b2_i [mm],nbl_b2_i,dbh_i [mm],sbh_i [mm],nbh_b_i,nbh_h_i,dbl_t1_mid [mm],nbl_t1_mid,dbl_t2_mid [mm],nbl_t2_mid,dbl_b1_mid [mm],nbl_b1_mid,dbl_b2_mid [mm],nbl_b2_mid,dbh_mid [mm],sbh_mid [mm],nbh_b_mid,nbh_h_mid,dbl_t1_j [mm],nbl_t1_j,dbl_t2_j [mm],nbl_t2_j,dbl_b1_j [mm],nbl_b1_j,dbl_b2_j [mm],nbl_b2_j,dbh_j [mm],sbh_j [mm],nbh_b_j,nbh_h_j,fcm_q [MPa],fsyml_q [MPa],fsymh_q [MPa],sbh_i_q [mm],sbh_mid_q [mm],sbh_j_q [mm],cover_q [mm],bondslip_factor_q
1025,1001,1002,300,500,4500,17.2188,2.25,15.0627,1.50007,13.3333,347.826,30,20,2,20,2,20,2,20,1,6,50,2,2,20,2,20,0,20,2,20,0,6,125,2,2,20,2,20,2,20,2,20,1,6,50,2,2,23.7998,476,475.936,50.8657,126.428,51.2787,26.6427,1
1026,1002,1003,300,500,4500,17.2188,2.25,15.0627,1.50007,13.3333,347.826,30,20,2,20,2,20,2,20,1,6,50,2,2,20,2,20,0,20,2,20,0,6,125,2,2,20,2,20,2,20,2,20,2,6,50,2,2,26.2279,488.118,481.402,51.5163,127.654,50.98,30.2142,1
1027,1003,1004,300,500,3000,3.75,0,3.75,0,13.3333,347.826,30,20,2,20,2,20,2,20,2,6,50,2,2,20,2,20,0,20,2,20,0,6,50,2,2,20,2,20,2,20,2,20,2,6,50,2,2,25.434,482.297,481.373,50.4208,52.2508,50.6988,33.4026,1
1028,1004,1005,300,500,4500,17.2188,2.25,15.0627,1.50007,13.3333,347.826,30,20,2,20,2,20,2,20,2,6,50,2,2,20,2,20,0,20,2,20,0,6,125,2,2,20,2,20,2,20,2,20,1,6,50,2,2,24.4611,484.006,476.983,51.2349,126.459,51.1545,28.5954,1
1029,1005,1006,300,500,4500,17.2188,2.25,15.0627,1.50007,13.3333,347.826,30,20,2,20,2,20,2,20,1,6,50,2,2,20,2,20,0,20,2,20,0,6,125,2,2,20,2,20,2,20,2,20,1,6,50,2,2,25.9981,477.467,488.936,51.5785,125.311,52.3386,27.4687,1
1030,1007,1008,300,550,4500,17.0625,4.5,12.7504,3.00015,13.3333,347.826,30,25,2,25,1,20,2,20,2,8,100,2,2,25,2,25,0,20,2,20,0,8,125,2,2,25,2,25,1,20,2,20,2,8,100,2,2,26.0027,476.544,486.052,103.463,129.123,102.66,32.7852,1
1031,1008,1009,300,550,4500,17.0625,4.5,12.7504,3.00015,13.3333,347.826,30,25,2,25,1,20,2,20,2,8,75,2,2,25,2,25,0,20,2,20,0,8,125,2,2,25,2,25,2,20,2,20,2,8,100,2,2,23.4717,470.441,475.487,78.4954,128.46,104.19,27.3841,1
1032,1009,1010,300,550,3000,21.375,8.25,19.9376,7.75005,13.3333,347.826,30,25,2,25,2,20,2,20,2,8,50,2,2,25,2,25,0,20,2,20,0,8,100,2,2,25,2,25,2,20,2,20,2,8,50,2,2,24.9786,477.151,478.242,50.46,100.712,51.857,31.0536,1
1033,1010,1011,300,550,4500,17.0625,4.5,12.7504,3.00015,13.3333,347.826,30,25,2,25,2,20,2,20,2,8,100,2,2,25,2,25,0,20,2,20,0,8,125,2,2,25,2,25,1,20,2,20,2,8,75,2,2,24.3562,475.983,481.619,103.53,125.752,75.2551,31.4422,1
1034,1011,1012,300,550,4500,17.0625,4.5,12.7504,3.00015,13.3333,347.826,30,25,2,25,1,20,2,20,2,8,100,2,2,25,2,25,0,20,2,20,0,8,125,2,2,25,2,25,1,20,2,20,2,8,100,2,2,24.8969,484.513,485.919,104.288,128.735,101.506,30.1649,1
1035,1013,1014,300,550,4500,17.0625,4.5,12.7504,3.00015,13.3333,347.826,30,25,2,25,1,25,2,25,1,8,75,2,2,25,2,25,0,25,2,25,0,8,125,2,2,25,2,25,2,25,2,25,1,8,100,2,2,24.1163,479.656,486.888,76.5244,130.121,102.758,25.8003,1
1036,1014,1015,300,550,4500,17.0625,4.5,12.7504,3.00015,13.3333,347.826,30,25,2,25,2,25,2,25,1,8,75,2,2,25,2,25,0,25,2,25,0,8,125,2,2,25,2,25,2,25,2,25,1,8,75,2,2,20.8587,480.482,477.635,77.5217,131.187,75.061,27.219,1
1037,1015,1016,300,550,3000,12.75,3,9.87529,2.0001,13.3333,347.826,30,25,2,25,2,25,2,25,1,8,50,2,2,25,2,25,0,25,2,25,0,8,100,2,2,25,2,25,2,25,2,25,1,8,50,2,2,29.4986,491.253,482.857,50.5758,102.81,51.3729,31.4292,1
1038,1016,1017,300,550,4500,17.0625,4.5,12.7504,3.00015,13.3333,347.826,30,25,2,25,2,25,2,25,1,8,75,2,2,25,2,25,0,25,2,25,0,8,125,2,2,25,2,25,2,25,2,25,1,8,75,2,2,23.9849,484.079,471.715,77.4139,125.95,75.8074,31.6653,1
1039,1017,1018,300,550,4500,17.0625,4.5,12.7504,3.00015,13.3333,347.826,30,25,2,25,2,25,2,25,1,8,100,2,2,25,2,25,0,25,2,25,0,8,125,2,2,25,2,25,1,25,2,25,1,8,75,2,2,25.6075,484.491,481.274,103.933,129.085,76.9995,38.5682,1
1040,1019,1020,300,550,4500,17.5938,2.25,15.4377,1.50007,13.3333,347.826,30,25,2,25,1,20,2,20,1,8,100,2,2,25,2,25,0,20,2,20,0,8,125,2,2,25,2,25,1,20,2,20,1,8,100,2,2,26.1084,482.037,478.258,101.621,126.661,101.444,32.1676,1
1041,1020,1021,300,550,4500,17.5938,2.25,15.4377,1.50007,13.3333,347.826,30,25,2,25,1,20,2,20,1,8,100,2,2,25,2,25,0,20,2,20,0,8,125,2,2,25,2,25,1,20,2,20,2,8,100,2,2,22.6649,482.887,483.239,104.304,126.789,100.085,25.7893,1
1042,1021,1022,300,550,3000,15.4375,1.5,14.0001,1.00005,13.3333,347.826,30,25,2,25,1,20,2,20,2,8,75,2,2,25,2,25,0,20,2,20,0,8,100,2,2,25,2,25,1,20,2,20,2,8,75,2,2,23.8508,480.316,478.677,78.1828,100.873,75.3795,30.2388,1
1043,1022,1023,300,550,4500,17.5938,2.25,15.4377,1.50007,13.3333,347.826,30,25,2,25,1,20,2,20,2,8,100,2,2,25,2,25,0,20,2,20,0,8,125,2,2,25,2,25,1,20,2,20,1,8,100,2,2,24.6603,478.055,476.144,100.107,129.733,104.662,30.8767,1
1044,1023,1024,300,550,4500,17.5938,2.25,15.4377,1.50007,13.3333,347.826,30,25,2,25,1,20,2,20,1,8,100,2,2,25,2,25,0,20,2,20,0,8,125,2,2,25,2,25,1,20,2,20,1,8,100,2,2,26.732,483.528,477.981,101.705,129.237,102.959,25.6604,1
2025,2001,2002,300,500,4500,17.2188,2.25,15.0627,1.50007,13.3333,347.826,30,20,2,20,2,20,2,20,1,6,50,2,2,20,2,20,0,20,2,20,0,6,125,2,2,20,2,20,2,20,2,20,1,6,50,2,2,25.2779,483.1,483.586,51.2047,126.709,51.5342,30.8463,1
2026,2002,2003,300,500,4500,17.2188,2.25,15.0627,1.50007,13.3333,347.826,30,20,2,20,2,20,2,20,1,6,50,2,2,20,2,20,0,20,2,20,0,6,125,2,2,20,2,20,2,20,2,20,2,6,50,2,2,27.2763,486.304,484.621,50.0615,130.752,51.6948,28.9771,1
2027,2003,2004,300,500,3000,3.75,0,3.75,0,13.3333,347.826,30,20,2,20,2,20,2,20,2,6,50,2,2,20,2,20,0,20,2,20,0,6,50,2,2,20,2,20,2,20,2,20,2,6,50,2,2,25.9865,475.652,477.215,50.3339,50.4042,51.3883,27.3545,1
2028,2004,2005,300,500,4500,17.2188,2.25,15.0627,1.50007,13.3333,347.826,30,20,2,20,2,20,2,20,2,6,50,2,2,20,2,20,0,20,2,20,0,6,125,2,2,20,2,20,2,20,2,20,1,6,50,2,2,22.8318,488.98,479.261,52.0146,127.793,52.0297,28.6017,1
2029,2005,2006,300,500,4500,17.2188,2.25,15.0627,1.50007,13.3333,347.826,30,20,2,20,2,20,2,20,1,6,50,2,2,20,2,20,0,20,2,20,0,6,125,2,2,20,2,20,2,20,2,20,1,6,50,2,2,25.6171,479.647,470.148,51.845,127.282,50.7482,31.2483,1
2030,2007,2008,300,550,4500,17.0625,4.5,12.7504,3.00015,13.3333,347.826,30,25,2,25,1,25,2,25,1,8,100,2,2,25,2,25,0,25,2,25,0,8,125,2,2,25,2,25,1,25,2,25,1,8,100,2,2,25.3383,479.614,483.237,102.692,127.659,100.042,29.6188,1
2031,2008,2009,300,550,4500,17.0625,4.5,12.7504,3.00015,13.3333,347.826,30,25,2,25,1,25,2,25,1,8,75,2,2,25,2,25,0,25,2,25,0,8,125,2,2,25,2,25,2,25,2,25,1,8,100,2,2,23.0545,474.29,479.817,77.476,129.034,101.146,32.6226,1
2032,2009,2010,300,550,3000,21.375,8.25,19.9376,7.75005,13.3333,347.826,30,25,2,25,2,25,2,25,1,8,50,2,2,25,2,25,0,25,2,25,0,8,100,2,2,25,2,25,2,25,2,25,1,8,50,2,2,26.396,471.389,481.285,52.0712,103.765,52.1033,35.9301,1
2033,2010,2011,300,550,4500,17.0625,4.5,12.7504,3.00015,13.3333,347.826,30,25,2,25,2,25,2,25,1,8,100,2,2,25,2,25,0,25,2,25,0,8,125,2,2,25,2,25,1,25,2,25,1,8,75,2,2,23.9836,480.533,473.654,102.738,128.898,78.0551,34.217,1
2034,2011,2012,300,550,4500,17.0625,4.5,12.7504,3.00015,13.3333,347.826,30,25,2,25,1,25,2,25,1,8,100,2,2,25,2,25,0,25,2,25,0,8,125,2,2,25,2,25,1,25,2,25,1,8,100,2,2,28.7424,484.251,475.293,101.344,126.781,102.679,30.7145,1
2035,2013,2014,300,550,4500,17.0625,4.5,12.7504,3.00015,13.3333,347.826,30,25,2,25,1,25,2,25,1,8,100,2,2,25,2,25,0,25,2,25,0,8,125,2,2,25,2,25,1,25,2,25,1,8,100,2,2,25.7825,487.981,479.921,100.488,128.725,103.428,26.3144,1
2036,2014,2015,300,550,4500,17.0625,4.5,12.7504,3.00015,13.3333,347.826,30,25,2,25,1,25,2,25,1,8,75,2,2,25,2,25,0,25,2,25,0,8,125,2,2,25,2,25,2,25,2,25,1,8,100,2,2,21.9837,478.53,479.98,76.9973,126.306,101.777,28.3358,1
2037,2015,2016,300,550,3000,12.75,3,9.87529,2.0001,13.3333,347.826,30,25,2,25,2,25,2,25,1,8,50,2,2,25,2,25,0,25,2,25,0,8,100,2,2,25,2,25,2,25,2,25,1,8,50,2,2,25.7781,480.837,471.525,50.0661,100.789,50.8988,32.499,1
2038,2016,2017,300,550,4500,17.0625,4.5,12.7504,3.00015,13.3333,347.826,30,25,2,25,2,25,2,25,1,8,100,2,2,25,2,25,0,25,2,25,0,8,125,2,2,25,2,25,1,25,2,25,1,8,75,2,2,25.3472,478.97,473.983,101.521,126.796,77.9753,30.8551,1
2039,2017,2018,300,550,4500,17.0625,4.5,12.7504,3.00015,13.3333,347.826,30,25,2,25,1,25,2,25,1,8,100,2,2,25,2,25,0,25,2,25,0,8,125,2,2,25,2,25,1,25,2,25,1,8,100,2,2,25.7889,484.346,472.188,101.312,126.208,100.968,25.9284,1
