column_id,node_i,node_j,bx [mm],by [mm],length [mm],wg [kN/m],wq [kN/m],fcd [MPa],fsyd [MPa],cover [mm],dbl_cor [mm],dbl_int [mm],nblx_int,nbly_int,dbh [mm],sbh [mm],nbh_x,nbh_y,fcm_q [MPa],fsyml_q [MPa],fsymh_q [MPa],sbh_q [mm],cover_q [mm],bondslip_factor_q
1,1,1001,500,500,3100,6.25,0,13.3333,347.826,30,25,20,2,1,8,150,4,4,22.8025,477.811,485.418,151.437,35.3792,1
2,2,1002,550,550,3100,7.5625,0,13.3333,347.826,30,25,20,4,3,8,100,5,5,28.5789,478.517,475.539,103.265,28.121,1
5,5,1005,550,550,3100,7.5625,0,13.3333,347.826,30,25,20,4,3,8,100,5,5,23.5865,479.08,481.775,104.325,30.6707,1
6,6,1006,500,500,3100,6.25,0,13.3333,347.826,30,25,20,2,1,8,150,4,4,22.6859,471.347,490.71,153.633,29.4261,1
7,7,1007,650,650,3100,10.5625,0,13.3333,347.826,30,25,20,6,5,8,100,5,5,22.3815,475.303,479.093,104.861,29.0789,1
8,8,1008,800,800,3100,16,0,13.3333,347.826,30,25,25,8,6,8,50,6,6,24.6822,490.043,476.099,51.5103,31.3614,1
9,9,1009,750,750,3100,14.0625,0,13.3333,347.826,30,25,20,9,9,8,75,6,6,26.1614,481.504,480.857,78.0923,28.3094,1
10,10,1010,750,750,3100,14.0625,0,13.3333,347.826,30,25,20,9,9,8,75,6,6,25.0818,481.979,475.092,75.4285,30.471,1
11,11,1011,800,800,3100,16,0,13.3333,347.826,30,25,25,8,6,8,50,6,6,22.5223,483.259,477.526,52.2892,28.7768,1
12,12,1012,650,650,3100,10.5625,0,13.3333,347.826,30,25,20,6,5,8,100,5,5,29.3209,488.863,479.083,100.64,32.229,1
13,13,1013,650,650,3100,10.5625,0,13.3333,347.826,30,25,20,5,5,8,100,5,5,25.0076,477.585,471.127,103.24,27.2804,1
14,14,1014,800,800,3100,16,0,13.3333,347.826,30,25,25,8,6,8,50,6,6,27.2003,474.213,476.499,50.6482,28.3133,1
15,15,1015,750,750,3100,14.0625,0,13.3333,347.826,30,25,20,9,10,8,75,6,6,25.1115,480.156,486.501,76.2641,31.8062,1
16,16,1016,750,750,3100,14.0625,0,13.3333,347.826,30,25,20,9,10,8,75,6,6,24.973,475.114,483.694,77.6835,29.8972,1
17,17,1017,800,800,3100,16,0,13.3333,347.826,30,25,25,8,6,8,50,6,6,21.768,487.459,472.456,50.4154,24.9762,1
18,18,1018,650,650,3100,10.5625,0,13.3333,347.826,30,25,20,5,5,8,100,5,5,23.4224,484.56,482.645,102.242,38.5811,1
19,19,1019,500,500,3100,6.25,0,13.3333,347.826,30,25,20,2,2,8,125,4,4,23.878,482.785,473.058,129.961,28.8663,1
20,20,1020,550,550,3100,7.5625,0,13.3333,347.826,30,25,20,4,3,8,100,5,5,26.0923,489.364,474.34,101.135,31.8603,1
21,21,1021,550,550,3100,7.5625,0,13.3333,347.826,30,25,20,3,4,8,125,5,5,28.0746,486.461,472.153,131.225,31.6562,1
