beam_id,node_i,node_j,b [mm],h [mm],length [mm],wg [kN/m],wq [kN/m],wg_alpha [kN/m],wq_alpha [kN/m],fcd [MPa],fsyd [MPa],cover [mm],dbl_t1_i [mm],nbl_t1_i,dbl_t2_i [mm],nbl_t2_i,dbl_b1_i [mm],nbl_b1_i,dbl_b2_i [mm],nbl_b2_i,dbh_i [mm],sbh_i [mm],nbh_b_i,nbh_h_i,dbl_t1_mid [mm],nbl_t1_mid,dbl_t2_mid [mm],nbl_t2_mid,dbl_b1_mid [mm],nbl_b1_mid,dbl_b2_mid [mm],nbl_b2_mid,dbh_mid [mm],sbh_mid [mm],nbh_b_mid,nbh_h_mid,dbl_t1_j [mm],nbl_t1_j,dbl_t2_j [mm],nbl_t2_j,dbl_b1_j [mm],nbl_b1_j,dbl_b2_j [mm],nbl_b2_j,dbh_j [mm],sbh_j [mm],nbh_b_j,nbh_h_j,fcm_q [MPa],fsyml_q [MPa],fsymh_q [MPa],sbh_i_q [mm],sbh_mid_q [mm],sbh_j_q [mm],cover_q [mm],bondslip_factor_q
1025,1001,1002,200,400,4500,15.22,2.25,13.1202,1.50007,6,140,30,25,2,25,0,16,2,16,0,8,150,2,2,25,2,25,0,16,2,16,0,8,150,2,2,25,2,25,0,16,2,16,0,8,150,2,2,20.3998,285.6,285.562,152.597,151.714,153.836,26.6427,0
1026,1002,1003,200,400,4500,15.22,2.25,13.1202,1.50007,6,140,30,25,2,25,0,16,2,16,0,8,150,2,2,25,2,25,0,16,2,16,0,8,150,2,2,25,2,25,0,16,2,16,0,8,150,2,2,22.481,292.871,288.841,154.549,153.185,152.94,30.2142,0
1027,1003,1004,200,400,3000,1.92,0,1.92,0,6,140,30,25,2,25,0,16,2,16,0,8,150,2,2,25,2,25,0,16,2,16,0,8,150,2,2,25,2,25,0,16,2,16,0,8,150,2,2,21.8006,289.378,288.824,151.262,156.752,152.096,33.4026,0
1028,1004,1005,200,400,4500,15.22,2.25,13.1202,1.50007,6,140,30,25,2,25,0,16,2,16,0,8,150,2,2,25,2,25,0,16,2,16,0,8,150,2,2,25,2,25,0,16,2,16,0,8,150,2,2,20.9667,290.403,286.19,153.705,151.751,153.463,28.5954,0
1029,1005,1006,200,400,4500,15.22,2.25,13.1202,1.50007,6,140,30,25,2,25,0,16,2,16,0,8,150,2,2,25,2,25,0,16,2,16,0,8,150,2,2,25,2,25,0,16,2,16,0,8,150,2,2,22.2841,286.48,293.362,154.736,150.374,157.016,27.4687,0
1030,1007,1008,200,400,4500,14.52,4.5,10.3204,3.00015,6,140,30,16,2,16,1,12,2,12,0,6,125,2,2,16,2,16,0,12,2,12,1,6,125,2,2,16,2,16,1,12,2,12,0,6,125,2,2,22.2881,285.926,291.631,129.328,129.123,128.325,32.7852,0
1031,1008,1009,200,400,4500,14.52,4.5,10.3204,3.00015,6,140,30,16,2,16,1,12,2,12,0,6,125,2,2,16,2,16,0,12,2,12,1,6,125,2,2,16,2,16,1,12,2,12,0,6,125,2,2,20.1186,282.265,285.292,130.826,128.46,130.237,27.3841,0
1032,1009,1010,200,400,3000,18.72,8.25,17.3201,7.75005,6,140,30,16,2,16,1,12,2,12,0,6,125,2,2,16,2,16,0,12,2,12,0,6,125,2,2,16,2,16,1,12,2,12,0,6,125,2,2,21.4103,286.291,286.945,126.15,125.891,129.643,31.0536,0
1033,1010,1011,200,400,4500,14.52,4.5,10.3204,3.00015,6,140,30,16,2,16,1,12,2,12,0,6,125,2,2,16,2,16,0,12,2,12,1,6,125,2,2,16,2,16,1,12,2,12,0,6,125,2,2,20.8768,285.59,288.971,129.412,125.752,125.425,31.4422,0
1034,1011,1012,200,400,4500,14.52,4.5,10.3204,3.00015,6,140,30,16,2,16,1,12,2,12,0,6,125,2,2,16,2,16,0,12,2,12,1,6,125,2,2,16,2,16,1,12,2,12,0,6,125,2,2,21.3402,290.708,291.552,130.36,128.735,126.882,30.1649,0
1035,1013,1014,200,400,4500,14.52,4.5,10.3204,3.00015,6,140,30,16,2,16,1,12,2,12,0,6,125,2,2,16,2,16,0,12,2,12,1,6,125,2,2,16,2,16,1,12,2,12,0,6,125,2,2,20.6711,287.793,292.133,127.541,130.121,128.447,25.8003,0
1036,1014,1015,200,400,4500,14.52,4.5,10.3204,3.00015,6,140,30,16,2,16,1,12,2,12,0,6,125,2,2,16,2,16,0,12,2,12,1,6,125,2,2,16,2,16,1,12,2,12,0,6,125,2,2,17.8789,288.289,286.581,129.203,131.187,125.102,27.219,0
1037,1015,1016,200,400,3000,10.32,3,7.52028,2.0001,6,140,30,16,2,16,1,12,2,12,0,6,125,2,2,16,2,16,0,12,2,12,0,6,125,2,2,16,2,16,1,12,2,12,0,6,125,2,2,25.2845,294.752,289.714,126.44,128.513,128.432,31.4292,0
1038,1016,1017,200,400,4500,14.52,4.5,10.3204,3.00015,6,140,30,16,2,16,1,12,2,12,0,6,125,2,2,16,2,16,0,12,2,12,1,6,125,2,2,16,2,16,1,12,2,12,0,6,125,2,2,20.5585,290.447,283.029,129.023,125.95,126.346,31.6653,0
1039,1017,1018,200,400,4500,14.52,4.5,10.3204,3.00015,6,140,30,16,2,16,1,12,2,12,0,6,125,2,2,16,2,16,0,12,2,12,1,6,125,2,2,16,2,16,1,12,2,12,0,6,125,2,2,21.9492,290.695,288.764,129.916,129.085,128.332,38.5682,0
1040,1019,1020,200,400,4500,15.22,2.25,13.1202,1.50007,6,140,30,25,2,25,0,16,2,16,0,8,150,2,2,25,2,25,0,16,2,16,0,8,150,2,2,25,2,25,0,16,2,16,0,8,150,2,2,22.3786,289.222,286.955,152.431,151.993,152.167,32.1676,0
1041,1020,1021,200,400,4500,15.22,2.25,13.1202,1.50007,6,140,30,25,2,25,0,16,2,16,0,8,150,2,2,25,2,25,0,16,2,16,0,8,150,2,2,25,2,25,0,16,2,16,0,8,150,2,2,19.4271,289.732,289.944,156.456,152.146,150.128,25.7893,0
1042,1021,1022,200,400,3000,13.12,1.5,11.7201,1.00005,6,140,30,25,2,25,0,16,2,16,0,8,150,2,2,25,2,25,0,16,2,16,0,8,150,2,2,25,2,25,0,16,2,16,0,8,150,2,2,20.4436,288.189,287.206,156.366,151.31,150.759,30.2388,0
1043,1022,1023,200,400,4500,15.22,2.25,13.1202,1.50007,6,140,30,25,2,25,0,16,2,16,0,8,150,2,2,25,2,25,0,16,2,16,0,8,150,2,2,25,2,25,0,16,2,16,0,8,150,2,2,21.1374,286.833,285.686,150.16,155.679,156.993,30.8767,0
1044,1023,1024,200,400,4500,15.22,2.25,13.1202,1.50007,6,140,30,25,2,25,0,16,2,16,0,8,150,2,2,25,2,25,0,16,2,16,0,8,150,2,2,25,2,25,0,16,2,16,0,8,150,2,2,22.9131,290.117,286.788,152.558,155.085,154.438,25.6604,0
2025,2001,2002,200,400,4500,15.22,2.25,13.1202,1.50007,6,140,30,25,2,25,0,12,2,12,0,8,150,2,2,25,2,25,0,12,2,12,1,8,150,2,2,25,2,25,0,12,2,12,0,8,150,2,2,21.6668,289.86,290.151,153.614,152.051,154.602,30.8463,0
2026,2002,2003,200,400,4500,15.22,2.25,13.1202,1.50007,6,140,30,25,2,25,0,12,2,12,0,8,150,2,2,25,2,25,0,12,2,12,1,8,150,2,2,25,2,25,0,12,2,12,0,8,150,2,2,23.3797,291.783,290.772,150.185,156.903,155.084,28.9771,0
2027,2003,2004,200,400,3000,1.92,0,1.92,0,6,140,30,25,2,25,0,12,2,12,0,8,150,2,2,25,2,25,0,12,2,12,0,8,150,2,2,25,2,25,0,12,2,12,0,8,150,2,2,22.2741,285.391,286.329,151.002,151.212,154.165,27.3545,0
