beam_id,node_i,node_j,b [mm],h [mm],length [mm],wg [kN/m],wq [kN/m],wg_alpha [kN/m],wq_alpha [kN/m],fcd [MPa],fsyd [MPa],cover [mm],dbl_t1_i [mm],nbl_t1_i,dbl_t2_i [mm],nbl_t2_i,dbl_b1_i [mm],nbl_b1_i,dbl_b2_i [mm],nbl_b2_i,dbh_i [mm],sbh_i [mm],nbh_b_i,nbh_h_i,dbl_t1_mid [mm],nbl_t1_mid,dbl_t2_mid [mm],nbl_t2_mid,dbl_b1_mid [mm],nbl_b1_mid,dbl_b2_mid [mm],nbl_b2_mid,dbh_mid [mm],sbh_mid [mm],nbh_b_mid,nbh_h_mid,dbl_t1_j [mm],nbl_t1_j,dbl_t2_j [mm],nbl_t2_j,dbl_b1_j [mm],nbl_b1_j,dbl_b2_j [mm],nbl_b2_j,dbh_j [mm],sbh_j [mm],nbh_b_j,nbh_h_j,fcm_q [MPa],fsyml_q [MPa],fsymh_q [MPa],sbh_i_q [mm],sbh_mid_q [mm],sbh_j_q [mm],cover_q [mm],bondslip_factor_q
1033,1001,1002,200,400,4200,8.92,0,8.92,0,8.5,300,30,25,2,25,0,25,2,25,0,8,150,2,2,25,2,25,0,25,2,25,0,8,150,2,2,25,2,25,0,25,2,25,0,8,150,2,2,41.1969,605.982,611.465,156.852,159.47,175.954,28.9971,0
1034,1002,1003,200,400,4200,8.92,0,8.92,0,8.5,300,30,25,2,25,0,25,2,25,0,8,150,2,2,25,2,25,0,25,2,25,0,8,150,2,2,25,2,25,0,25,2,25,0,8,150,2,2,18.7731,603.568,590.215,190.947,154.296,167.569,30.0114,0
1035,1003,1004,200,400,4200,8.92,0,8.92,0,8.5,300,30,25,2,25,0,25,2,25,0,8,150,2,2,25,2,25,0,25,2,25,0,8,150,2,2,25,2,25,0,25,2,25,0,8,150,2,2,22.5838,601.564,609.423,158.771,180.263,192.116,19.8435,0
1036,1004,1005,200,400,2900,1.92,0,1.92,0,8.5,300,30,25,2,25,0,25,2,25,0,8,150,2,2,25,2,25,0,25,2,25,0,8,150,2,2,25,2,25,0,25,2,25,0,8,150,2,2,28.1367,603.496,602.524,183.72,163.22,192.125,23.4402,0
1037,1005,1006,200,400,4200,8.92,0,8.92,0,8.5,300,30,25,2,25,0,25,2,25,0,8,150,2,2,25,2,25,0,25,2,25,0,8,150,2,2,25,2,25,0,25,2,25,0,8,150,2,2,21.4542,608.314,591.166,156.367,178.519,167.203,22.8995,0
1038,1006,1007,200,400,4200,8.92,0,8.92,0,8.5,300,30,25,2,25,0,25,2,25,0,8,150,2,2,25,2,25,0,25,2,25,0,8,150,2,2,25,2,25,0,25,2,25,0,8,150,2,2,32.7541,611.235,608.836,153.435,191.887,183.994,29.2609,0
1039,1007,1008,200,400,4200,8.92,0,8.92,0,8.5,300,30,25,2,25,0,25,2,25,0,8,150,2,2,25,2,25,0,25,2,25,0,8,150,2,2,25,2,25,0,25,2,25,0,8,150,2,2,22.3631,580.137,591.476,166.716,150.783,178.013,30.5705,0
1040,1009,1010,350,450,4200,3.78,0,3.78,0,8.5,300,30,20,2,16,1,16,2,16,2,6,125,2,2,20,2,16,1,16,2,16,0,6,125,2,2,20,2,16,1,16,2,16,2,6,125,2,2,29.7659,620.791,593.908,147.879,127.039,138.945,44.6765,0
1041,1010,1011,350,450,4200,3.78,0,3.78,0,8.5,300,30,20,2,16,1,16,2,16,2,6,125,2,2,20,2,16,1,16,2,16,0,6,125,2,2,20,2,16,1,16,2,16,2,6,125,2,2,28.2843,598.104,587.634,144.926,137.553,134.849,27.699,0
1042,1011,1012,350,450,4200,3.78,0,3.78,0,8.5,300,30,20,2,16,1,16,2,16,2,6,125,2,2,20,2,16,1,16,2,16,0,6,125,2,2,20,2,16,3,16,2,16,3,6,125,2,2,30.9119,607.77,602.187,156.552,136.548,159.599,24.9594,0
1043,1012,1013,350,450,2900,18.06,7.65,18.06,7.65,8.5,300,30,20,2,16,3,16,2,16,3,6,125,2,2,20,2,16,1,16,2,16,0,6,125,2,2,20,2,16,3,16,2,16,3,6,125,2,2,18.0123,595.733,598.055,141.365,139.515,132.095,43.3544,0
1044,1013,1014,350,450,4200,3.78,0,3.78,0,8.5,300,30,20,2,16,3,16,2,16,3,6,125,2,2,20,2,16,1,16,2,16,0,6,125,2,2,20,2,16,1,16,2,16,2,6,125,2,2,22.5461,575.974,605.091,147.937,141.668,154.616,30.541,0
1045,1014,1015,350,450,4200,3.78,0,3.78,0,8.5,300,30,20,2,16,1,16,2,16,2,6,125,2,2,20,2,16,1,16,2,16,0,6,125,2,2,20,2,16,1,16,2,16,2,6,125,2,2,29.1123,606.37,566.366,127.236,140.41,153.284,42.8486,0
1046,1015,1016,350,450,4200,3.78,0,3.78,0,8.5,300,30,20,2,16,1,16,2,16,2,6,125,2,2,20,2,16,1,16,2,16,0,6,125,2,2,20,2,16,1,16,2,16,2,6,125,2,2,19.934,594.872,596.433,152.946,128.586,132.809,27.8005,0
1047,1017,1018,300,200,4200,1.44,0,1.44,0,8.5,300,30,12,2,12,1,12,2,12,0,6,125,2,2,12,2,12,0,12,2,12,0,6,125,2,2,12,2,12,1,12,2,12,0,6,125,2,2,17.9784,601.994,573.888,151.07,137.493,138.985,22.4779,0
1048,1018,1019,300,200,4200,1.44,0,1.44,0,8.5,300,30,12,2,12,1,12,2,12,0,6,125,2,2,12,2,12,0,12,2,12,0,6,125,2,2,12,2,12,1,12,2,12,0,6,125,2,2,24.2978,590.725,592.4,155.447,129.513,141.764,29.3147,0
