column_id,node_i,node_j,bx [mm],by [mm],length [mm],wg [kN/m],wq [kN/m],fcd [MPa],fsyd [MPa],cover [mm],dbl_cor [mm],dbl_int [mm],nblx_int,nbly_int,dbh [mm],sbh [mm],nbh_x,nbh_y,fcm_q [MPa],fsyml_q [MPa],fsymh_q [MPa],sbh_q [mm],cover_q [mm],bondslip_factor_q
1,1,1001,300,300,3500,2.16,0,11.5,140,30,12,12,2,0,6,125,2,2,21.6588,283.902,280.991,160.3,33.3094,0
2,2,1002,300,300,3500,2.16,0,11.5,140,30,12,12,2,0,6,125,2,2,32.7611,282.025,291.68,142.231,32.3656,0
5,5,1005,300,300,3500,2.16,0,11.5,140,30,12,12,2,0,6,125,2,2,30.9296,285.965,280.318,138.797,23.7541,0
6,6,1006,300,300,3500,2.16,0,11.5,140,30,12,12,2,0,6,125,2,2,30.6947,298.601,283.549,146.5,18.0577,0
7,7,1007,300,300,3500,2.16,0,11.5,140,30,12,12,2,1,6,125,2,2,29.2677,289.278,294.208,159.145,34.2371,0
8,8,1008,350,350,3500,2.94,0,11.5,140,30,16,12,3,1,6,150,2,2,27.0924,298.134,284.261,194.104,22.7417,0
9,9,1009,350,350,3500,2.94,0,11.5,140,30,16,12,3,1,6,150,2,2,33.9536,291.848,289.774,181.308,26.0934,0
10,10,1010,350,350,3500,2.94,0,11.5,140,30,16,12,3,1,6,150,2,2,28.7662,288.022,289.325,166.574,47.5061,0
11,11,1011,350,350,3500,2.94,0,11.5,140,30,16,12,3,1,6,150,2,2,28.2133,288.11,283.523,188.862,43.2286,0
12,12,1012,300,300,3500,2.16,0,11.5,140,30,12,12,2,1,6,125,2,2,33.9868,282.465,283.156,159.662,39.8055,0
13,13,1013,300,300,3500,2.16,0,11.5,140,30,12,12,2,1,6,125,2,2,32.4242,269.877,284.036,145.36,31.2884,0
14,14,1014,300,300,3500,2.16,0,11.5,140,30,12,12,2,1,6,125,2,2,25.6176,286.51,296.437,151.683,29.3476,0
15,15,1015,300,300,3500,2.16,0,11.5,140,30,12,12,2,1,6,125,2,2,32.1718,289.151,273.406,157.681,29.4381,0
16,16,1016,300,300,3500,2.16,0,11.5,140,30,12,12,2,1,6,125,2,2,26.6974,296.459,278.576,150.668,27.6206,0
